model,num_epochs,batch_size,hidden_channels,lr,weight_decay,mean_train_accuracy,var_train_accuracy,max_train_accuracy,max_train_accuracy_epoch,mean_val_accuracy,var_val_accuracy,max_val_accuracy,max_val_accuracy_epoch
GAT,125,48,48,0.0005,0.003,0.697919936,0.0009610044271479031,0.746667,121,0.7511579199999999,0.0006371714872416001,0.789474,45
CHEV,125,48,24,0.0005,0.003,0.6826666880000001,0.003049245752934655,0.753333,108,0.7406315359999998,0.004351292868456705,0.842105,2
CHEV,125,48,48,0.0005,0.003,0.7248533359999998,0.001780177823071104,0.786667,119,0.7886315120000001,0.002303994967625856,0.894737,112
EGC,125,48,24,0.0005,0.003,0.6234667280000002,0.011021232392550017,0.746667,15,0.6804209759999998,0.02376401289290343,0.789474,15
EGC,125,48,48,0.0005,0.003,0.666880056,0.0022107985894768627,0.753333,119,0.743157904,0.004281447506294781,0.789474,89
SAGE,125,48,24,0.001,0.003,0.6958400240000001,0.0034493611597354243,0.76,122,0.763368448,0.005479181019175293,0.842105,47
SAGE,125,48,48,0.001,0.003,0.708106648,0.001094813671604095,0.753333,106,0.7675789120000001,0.001648044456816256,0.842105,46
GCN,125,48,24,0.001,0.003,0.6876266480000001,0.0010557853514440952,0.753333,115,0.7477894239999998,0.000633621830228224,0.842105,97
GCN,125,48,48,0.001,0.003,0.7036800000000001,0.001318724373391999,0.753333,53,0.7498946799999999,0.0010041447304416,0.842105,64
GAT,125,48,24,0.001,0.003,0.7042666480000002,0.000997261314900095,0.753333,105,0.757894768,0.0010193964499061762,0.842105,56
GAT,125,48,48,0.001,0.003,0.718506664,0.0012201724009911037,0.766667,92,0.768842192,0.001103429573547136,0.842105,43
CHEV,125,48,24,0.001,0.003,0.7057066479999998,0.0017192573864360946,0.76,119,0.7667367919999999,0.003427636192484737,0.842105,52
CHEV,125,48,48,0.001,0.003,0.7490133679999997,0.0016520937040405753,0.793333,83,0.8126315120000001,0.0026326838320738554,0.894737,69
EGC,125,48,24,0.001,0.003,0.6603733360000003,0.007972477224719101,0.753333,93,0.725052664,0.015329155512415092,0.842105,95
EGC,125,48,48,0.001,0.003,0.699466648,0.0027083316068040953,0.76,91,0.7671579040000002,0.0037346943525347824,0.894737,88
SAGE,125,48,24,0.005,0.003,0.7258666560000001,0.0015634489074416635,0.793333,113,0.7936841520000003,0.0027301913405448964,0.894737,89
SAGE,125,48,48,0.005,0.003,0.73008004,0.0012036391225503991,0.786667,121,0.8071578400000003,0.002834074135462399,0.894737,104
GCN,125,48,24,0.005,0.003,0.728533336,0.0009305601323351033,0.766667,45,0.7713684160000001,0.0016888195400829441,0.842105,23
GCN,125,48,48,0.005,0.003,0.7279467039999999,0.0009398747133763831,0.766667,43,0.780631536,0.0020713968693687047,0.842105,21
GAT,125,48,24,0.005,0.003,0.7381333039999999,0.001125406930563584,0.786667,109,0.7806316320000001,0.0015395442069525763,0.842105,29
GAT,125,48,48,0.005,0.003,0.744000016,0.0010474672853917442,0.786667,112,0.7898947760000001,0.0016175453632138238,0.842105,9
CHEV,125,48,24,0.005,0.003,0.7499200719999998,0.0017028397804828147,0.793333,82,0.8046315680000001,0.002695437007845374,0.894737,82
CHEV,125,48,48,0.005,0.003,0.764853392,0.0009225819728463356,0.793333,50,0.80505264,0.0025716897543103996,0.894737,50
EGC,125,48,24,0.005,0.003,0.7045866240000002,0.0033545997158986223,0.753333,44,0.7814736480000003,0.008290566467780097,0.894737,64
EGC,125,48,48,0.005,0.003,0.7249066,0.001119386716512,0.76,52,0.8016841440000002,0.002222087563755264,0.894737,50
